,CHP1 Gas Consumption (MWh),CHP2 Gas Consumption (MWh),Total Gas Consumption (MWh),Average Gas Consumption (MW),Max Gas Consumption (MW),CHP1 Power Production (MWh),CHP2 Power Production (MWh),Total Power Production (MWh),Average Power Production (MW),Max Power Production (MW),CHP1 Heat Production (MWh),CHP2 Heat Production (MWh),Total CHP Heat Production (MWh),Average CHP Heat Production (MW),CHP1 Waste Heat (MWh),CHP2 Waste Heat (MWh),Total Waste Heat (MWh),Average Waste Heat (MW),Heat Storage Charging (MWh),Heat Storage Discharging (MWh),Max Heat Storage Charging (MW),Max Heat Storage Discharging (MW),Geothermal Charging (MWh),Geothermal Discharging (MWh),Solar Thermal Production (MWh),Heat Pump S1 Production (MWh),Heat Pump S2 Production (MWh),Total Heat Pump Production (MWh),Average Solar Thermal (MW),Max Solar Thermal (MW),Waste Heat Grid Feedin (MWh),Waste Heat Grid Supply (MWh),Waste Heat Grid Dissipation (MWh),Average Grid Dissipation (MW),Max Grid Dissipation (MW),Waste Heat Utilization Rate (%),CHP Electrical Efficiency (%),CHP Total Efficiency (%),CHP1 Operating Hours (h),CHP2 Operating Hours (h),Total CHP Operating Hours (h),Storage Utilization Hours (h),Average Power Price (€/MWh),Max Power Price (€/MWh),Min Power Price (€/MWh),Power Price Std Dev (€/MWh),Total Heat Demand (MWh),Average Heat Demand (MW),Max Heat Demand (MW),Min Heat Demand (MW),Local Heat Demand (MWh),Average Local Heat Demand (MW),Max Local Heat Demand (MW),Min Local Heat Demand (MW)
uc1_0h2_2030,495751.95531960705,445360.3275000242,941112.2828196313,107.4329089976748,312.656,195177.31632926804,175473.57540505368,370650.8917343217,42.31174563177189,124.848,261674.10774475228,234996.2963844146,496670.40412916685,56.69753471794142,6206.7983371863575,5567.068523718044,11773.866860904402,1.3440487284137443,249144.2959847655,249144.29598504704,146.39640000000009,136.96499999999995,14.859856995936887,1561.2960556432204,4534.0893028022865,1769.9485239062435,5285.989870868481,7055.938394774725,0.5175901030596217,5.16,11773.8668609044,2433.8089666078395,9340.05789429511,1.0662166545998986,3.8,20.67127983831209,39.38434323945156,92.15917289538925,3302.0,2960.0,3483.0,8757.0,82.89207191780821,495.01,0.0,47.8869318838061,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc1_100h2_2030,416461.0341707249,415310.3516183483,831771.3857890732,94.95107143710882,311.6,116734.16234243687,116122.65473769727,232856.81708013415,26.58182843380526,129.17800000000005,247348.92329318015,246900.94051218737,494249.8638053675,56.42121732937985,9338.943377703883,9335.156327594033,18674.099705297915,2.1317465417006756,129605.34325779138,129605.34325779068,105.1716,112.6265,40.46782438806864,1186.7362863168883,4534.089302882326,1345.3323798799747,7706.530194950677,9051.862574830651,0.5175901030687586,5.16,18674.0997052979,4802.197108431271,13871.902596866548,1.5835505247564552,3.8,25.7158159387404,27.99529066021318,87.41664997236234,5744.0,5744.0,5910.0,8693.0,82.89207191780821,495.01,0.0,47.8869318838061,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc2_0h2_2030,461719.4833641581,466698.0739466209,928417.557310779,105.9837394190387,312.65600000000006,177528.54820297202,179896.4535533865,357425.00175635854,40.80194083976696,124.84800000000001,246204.56587629995,248593.12066803023,494797.6865443302,56.48375417172719,6057.791640365846,6093.535778879829,12151.327419245676,1.3871378332472235,242498.66180953025,242498.6618095301,146.8467,136.96499999999995,42.016479285410234,1832.7369098085835,4534.089302882326,2077.6648839304676,7158.707455987898,9236.372339918365,0.5175901030687586,5.16,12151.327419245677,3637.289579345353,8514.037839900324,0.9719221278425028,3.8,29.93326945979986,38.49830272400955,91.79303876686762,3275.0,3289.0,3624.0,8573.0,82.89207191780821,495.01,0.0,47.8869318838061,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc2_100h2_2030,416461.0341707249,415310.3516183483,831771.3857890732,94.95107143710882,311.6,116734.16234243687,116122.65473769727,232856.81708013415,26.58182843380526,129.17800000000005,247348.92329318015,246900.94051218737,494249.8638053675,56.42121732937985,9338.943377703883,9335.156327594033,18674.099705297915,2.1317465417006756,129605.34325779138,129605.34325779068,105.1716,112.6265,40.46782438806864,1186.7362863168883,4534.089302882326,1345.3323798799747,7706.530194950677,9051.862574830651,0.5175901030687586,5.16,18674.0997052979,4802.197108431271,13871.902596866548,1.5835505247564552,3.8,25.7158159387404,27.99529066021318,87.41664997236234,5744.0,5744.0,5910.0,8693.0,82.89207191780821,495.01,0.0,47.8869318838061,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc1_0h2_2040,490633.36222810566,452715.93113224104,943349.2933603467,107.39404523683363,312.65600000000006,192670.58704997454,177901.0369158964,370571.62396587094,42.1871156609598,124.84800000000001,259260.7710477412,239153.6913877065,498414.4624354477,56.74117286378047,6174.758263251163,5689.698708017493,11864.456971268657,1.3506895459094554,237635.7980601803,237635.7980601824,146.2605,133.11099999999985,3.914129892319936,1874.8853134351666,4539.265860768557,2125.4460235255765,5850.875403554217,7976.3214270797935,0.5167652391585333,5.16,11864.456971268657,2515.010878994631,9349.446092274024,1.064372278264347,3.8,21.19785916106452,39.28254640927765,92.11710789604395,3291.0,3031.0,3745.0,8711.0,91.46712431693989,950.0,0.0,91.38515031374824,500000.01649999997,56.92167765255009,144.559,23.0533,8804.587199770998,1.0023437158209243,4.319923030120191,0.0892586673145644
uc1_100h2_2040,468173.1736581053,465077.77283835947,933250.9464964648,106.24441558475236,311.6,166319.88523296808,165148.29933145898,331468.18456442707,37.735449062434775,129.17800000000005,249471.67251243847,247880.86173227394,497352.53424471244,56.62027939944357,7825.0239166403235,7778.768263065886,15603.792179706208,1.7763879986004334,180139.91544699942,180139.91544699928,127.9287,128.73299999999998,69.4409492875935,1637.229992452337,4539.265860768557,1856.0303140243077,6912.803594290015,8768.833908314322,0.5167652391585333,5.16,15603.79217970621,3691.4814080968836,11912.310771609302,1.3561373829245562,3.8,23.65759147252618,35.51758354050409,88.81005927940724,4530.0,4504.0,4876.0,8585.0,91.46712431693989,950.0,0.0,91.38515031374824,500000.01649999997,56.92167765255009,144.559,23.0533,8804.587199770998,1.0023437158209243,4.319923030120191,0.0892586673145644
uc2_0h2_2040,456623.8837746002,463557.72699262423,920181.6107672245,104.7565586028261,312.6560000000002,169308.34587716323,172425.24026132893,341733.58613849216,38.90409678261522,124.8480000000001,247161.20061208087,250594.00256735008,497755.2031794309,56.666120580536315,6399.101970113618,6460.681345705283,12859.783315818902,1.464000832857343,222821.6471051146,222821.64710511436,146.26049999999998,133.111,88.38897528982787,1999.8259349560876,4539.265860768557,2267.0837787981454,6513.920792384306,8781.004571182451,0.5167652391585333,5.16,12859.7833158189,2983.280164041509,9876.503151777391,1.1243742203753861,3.8,23.198525906511637,37.13762393638395,91.23077221875565,3533.0,3561.0,4041.0,8503.0,91.46712431693989,950.0,0.0,91.38515031374824,500000.01649999997,56.92167765255009,144.559,23.0533,8804.587199770998,1.0023437158209243,4.319923030120191,0.0892586673145644
uc2_100h2_2040,468173.1736581053,465077.77283835947,933250.9464964648,106.24441558475236,311.6,166319.88523296808,165148.29933145898,331468.18456442707,37.735449062434775,129.17800000000005,249471.67251243847,247880.86173227394,497352.53424471244,56.62027939944357,7825.0239166403235,7778.768263065886,15603.792179706208,1.7763879986004334,180139.91544699942,180139.91544699928,127.9287,128.73299999999998,69.4409492875935,1637.229992452337,4539.265860768557,1856.0303140243077,6912.803594290015,8768.833908314322,0.5167652391585333,5.16,15603.79217970621,3691.4814080968836,11912.310771609302,1.3561373829245562,3.8,23.65759147252618,35.51758354050409,88.81005927940724,4530.0,4504.0,4876.0,8585.0,91.46712431693989,950.0,0.0,91.38515031374824,500000.01649999997,56.92167765255009,144.559,23.0533,8804.587199770998,1.0023437158209243,4.319923030120191,0.0892586673145644
uc1_0h2_2050,474463.22916174383,452380.3999596788,926843.6291214227,105.80406725130395,312.656,180606.2431966014,172804.43054506188,353410.6737416633,40.34368421708484,124.848,254069.18899299172,241889.635973248,495958.82496623974,56.616304219890374,6343.783456950788,6009.143754101831,12352.927211052618,1.4101515081110294,228706.16793264612,228706.16793282307,145.6599,136.96499999999995,3.1035359699440335,1756.8024746480698,4534.0893028022865,1991.582527939466,5997.569032644138,7989.151560583604,0.5175901030596217,5.16,12352.92721105261,2764.3115605658295,9588.615650480182,1.0945908276803862,3.8,22.37778555104332,38.13056082358464,91.64107860492507,3451.0,3262.0,3932.0,8604.0,74.41286757990866,317.59,0.0,55.68175995232078,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc1_100h2_2050,462762.2995234651,462344.9285109122,925107.2280343773,105.60584794912984,311.6,162934.56296666843,163350.03392460686,326284.59689127526,37.247100101743754,129.178,247780.49749764934,247098.77941634215,494879.2769139915,56.49306814086661,7846.058764914755,7796.131693104787,15642.19045801954,1.785638180139217,178598.29468021856,178598.29468021856,128.42870000000016,136.96500000000017,16.123015472765722,1563.6162143917863,4534.089302882326,1772.5787499556654,7077.11708632666,8849.695836282324,0.5175901030687586,5.16,15642.19045801954,3851.825730153321,11790.364727866221,1.3459320465600708,3.8,24.624592958964655,35.26992190781482,88.76418310448571,4558.0,4523.0,4998.0,8594.0,74.41286757990866,317.59,0.0,55.68175995232078,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc2_0h2_2050,445489.3536200298,439363.6912551312,884853.044875161,101.01062156109144,312.656,151319.82586890273,149423.25220542098,300743.0780743237,34.331401606657955,124.848,249267.0226968691,245731.45171503318,494998.47441190225,56.50667516117606,7146.625228723851,7036.351978243488,14182.977206967338,1.6190613249962715,200190.9551617339,200190.955161734,140.94670000000045,136.96499999999995,21.89930890729941,1766.345356082746,4534.089302882326,2002.4007262504863,6957.9195884157725,8960.320314666258,0.5175901030687586,5.16,14182.977206967338,3533.321652722142,10649.655554245197,1.2157141043658901,3.8,24.912411556202812,33.98791243542072,89.92923255392003,4098.0,4033.0,4601.0,8629.0,74.41286757990866,317.59,0.0,55.68175995232078,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
uc2_100h2_2050,462854.48542123236,462611.75356323103,925466.2389844634,105.64683093429947,311.6000000002175,163529.7886954311,163091.26026153594,326621.0489569671,37.28550787179989,129.17800000009015,247371.33505518906,247529.03112405317,494900.36617924226,56.49547559123769,7804.7449198759305,7827.529160201078,15632.274080077008,1.7845061735247727,179066.7460180638,179066.7460180638,128.4287,136.96499999999995,42.24130920465381,1559.1176245621511,4534.089302882326,1767.4789660934982,7056.027821075664,8823.506787169163,0.5175901030687586,5.16,15632.27408007701,3866.3315598126264,11765.942520264382,1.3431441233178518,3.800000000000029,24.73300775054975,35.29259471586735,88.76838295448624,4532.0,4552.0,4980.0,8589.0,74.41286757990866,317.59,0.0,55.68175995232078,497705.8395,56.81573510273973,144.559,23.0533,8784.643803200222,1.0028132195434043,4.319923030120191,0.0892586673145644
